fight;260.97;146.45
force;206.9;282.51
attack;168.85;167.73
war;128.64;270.16
threat;121.06;64.41
struggle;67.8;79.09
military;65.14;126.45
combat;41.64;35.61
defend;36.28;42.99
battle;35.61;93.22
defense;30.85;70.03
defeat;27.51;51.62
enemy;26.73;60.89
resistance;24.48;43.82
weapon;22.6;68.63
frontline;19.82;3.6
front line;14.66;0.17
